iter	Accuracy	Logloss
383	0.8887390413	0.2675677632
384	0.888765485	0.2675588857
385	0.888765485	0.2675588841
386	0.8887760625	0.2675519621
387	0.8887619592	0.2675436028
388	0.8887795883	0.2675382665
389	0.8887795883	0.2675382526
390	0.8887901658	0.2675244693
391	0.8887901658	0.2675153767
392	0.8887831141	0.2675085207
393	0.8887760625	0.2674990295
394	0.8887742996	0.2674990231
395	0.8887742996	0.2674986882
396	0.8887742996	0.2674983439
